#options: 1280x528 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:61 out:61 type:B dur:2 cpbdur:2 q:28.40 aq:28.79 tex:10901 mv:2913 misc:1242 imb:8 pmb:357 smb:2275 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:28.40 aq:31.33 tex:5932 mv:1838 misc:766 imb:1 pmb:193 smb:2446 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:28.40 aq:31.59 tex:2310 mv:1198 misc:508 imb:2 pmb:106 smb:2532 d:- ref:0 ;
in:65 out:64 type:P dur:2 cpbdur:2 q:28.40 aq:31.73 tex:13936 mv:2064 misc:648 imb:20 pmb:203 smb:2417 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:28.40 aq:31.80 tex:3736 mv:1454 misc:578 imb:1 pmb:147 smb:2492 d:- ref:0 ;
in:66 out:66 type:I dur:2 cpbdur:2 q:25.49 aq:17.13 tex:245486 mv:77691 misc:279 imb:2640 pmb:0 smb:0 d:- ref:;
in:70 out:67 type:P dur:2 cpbdur:2 q:28.40 aq:20.49 tex:31556 mv:12695 misc:2405 imb:164 pmb:1162 smb:1314 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:28.40 aq:27.31 tex:2285 mv:4827 misc:1808 imb:4 pmb:507 smb:2129 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:28.40 aq:16.52 tex:228 mv:1577 misc:867 imb:0 pmb:169 smb:2471 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:28.40 aq:27.25 tex:1526 mv:3434 misc:1472 imb:3 pmb:363 smb:2274 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:28.40 aq:20.90 tex:52855 mv:16754 misc:2199 imb:298 pmb:1398 smb:944 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:28.40 aq:25.55 tex:7755 mv:7918 misc:1983 imb:51 pmb:626 smb:1963 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:28.40 aq:28.13 tex:1929 mv:2376 misc:1079 imb:5 pmb:227 smb:2408 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:28.40 aq:26.72 tex:3420 mv:4476 misc:1624 imb:18 pmb:454 smb:2168 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:28.40 aq:20.64 tex:66569 mv:18366 misc:2161 imb:308 pmb:1508 smb:824 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:28.40 aq:25.06 tex:10684 mv:7761 misc:1923 imb:49 pmb:642 smb:1949 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:28.40 aq:26.98 tex:2193 mv:3054 misc:1257 imb:13 pmb:285 smb:2342 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:28.40 aq:27.86 tex:4502 mv:4468 misc:1638 imb:12 pmb:441 smb:2187 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:28.40 aq:21.63 tex:49856 mv:14927 misc:2329 imb:217 pmb:1407 smb:1016 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:28.40 aq:24.56 tex:7502 mv:6627 misc:1975 imb:12 pmb:629 smb:1999 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:28.40 aq:26.92 tex:2472 mv:2897 misc:1207 imb:3 pmb:286 smb:2351 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:28.40 aq:25.00 tex:1767 mv:2589 misc:1492 imb:1 pmb:361 smb:2278 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:28.40 aq:21.50 tex:77110 mv:20037 misc:1837 imb:473 pmb:1667 smb:500 d:- ref:0 ;
